what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1396694021818
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1396694052440
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1396694053496
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1396694070567
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1396694074744
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1396694078334
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1396694080986
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1396694088521
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1396694095964
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396694122928
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396694207051
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396694269381
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396694298923
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1396694298979
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396694302037
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396694324582
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396694327376
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396694348321
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1396694348379
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396694352271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396694377240
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1396694416587
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1396694421716
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1396694433515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396694438204
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396694439501
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396694440554
